Image Quality Evaluation Summary
============================================================

Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/Histogram-result
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 6.0131 dB
Std SNR: 2.8320 dB
Min SNR: 0.7136 dB
Max SNR: 14.3889 dB

------------------------------------------------------------Mean PSNR: -37.4359 dB
Std PSNR: 2.8365 dB
Min PSNR: -42.9004 dB
Max PSNR: -28.8535 dB

------------------------------------------------------------Mean SSIM: 0.0551
Std SSIM: 0.0637
Min SSIM: 0.0006
Max SSIM: 0.3826

------------------------------------------------------------Individual Results:
------------------------------------------------------------
59_p4: SNR=10.9594 dB, PSNR=-32.2893 dB, SSIM=0.1335
60_p1: SNR=8.6896 dB, PSNR=-34.9912 dB, SSIM=0.0146
60_p2: SNR=7.7730 dB, PSNR=-35.8470 dB, SSIM=0.0056
60_p3: SNR=9.6038 dB, PSNR=-33.7787 dB, SSIM=0.1570
60_p4: SNR=8.8828 dB, PSNR=-34.5483 dB, SSIM=0.0403
61_p1: SNR=6.9300 dB, PSNR=-36.6962 dB, SSIM=0.0076
61_p2: SNR=6.1762 dB, PSNR=-37.3797 dB, SSIM=0.0050
61_p3: SNR=10.8115 dB, PSNR=-32.5450 dB, SSIM=0.0538
61_p4: SNR=11.7720 dB, PSNR=-31.6523 dB, SSIM=0.0519
62_p1: SNR=5.9402 dB, PSNR=-37.7801 dB, SSIM=0.0198
62_p2: SNR=10.8945 dB, PSNR=-32.6817 dB, SSIM=0.0352
62_p3: SNR=12.0881 dB, PSNR=-31.2320 dB, SSIM=0.1100
62_p4: SNR=6.8455 dB, PSNR=-36.5038 dB, SSIM=0.0361
63_p1: SNR=7.1488 dB, PSNR=-36.5011 dB, SSIM=0.0146
63_p2: SNR=7.5392 dB, PSNR=-36.2432 dB, SSIM=0.0358
63_p3: SNR=7.2403 dB, PSNR=-36.1784 dB, SSIM=0.0656
63_p4: SNR=3.0890 dB, PSNR=-40.4178 dB, SSIM=0.0271
64_p1: SNR=7.8132 dB, PSNR=-35.7016 dB, SSIM=0.0149
64_p2: SNR=9.1131 dB, PSNR=-34.4534 dB, SSIM=0.0729
64_p3: SNR=6.0492 dB, PSNR=-37.0714 dB, SSIM=0.0492
64_p4: SNR=5.9852 dB, PSNR=-37.1898 dB, SSIM=0.0620
65_p1: SNR=7.7004 dB, PSNR=-35.6129 dB, SSIM=0.0539
65_p2: SNR=5.9366 dB, PSNR=-37.4379 dB, SSIM=0.0341
65_p3: SNR=13.1739 dB, PSNR=-30.1661 dB, SSIM=0.2854
65_p4: SNR=7.9172 dB, PSNR=-35.4252 dB, SSIM=0.1150
66_p1: SNR=9.8741 dB, PSNR=-33.7867 dB, SSIM=0.0678
66_p2: SNR=8.2708 dB, PSNR=-35.3654 dB, SSIM=0.0564
66_p3: SNR=11.3744 dB, PSNR=-31.9534 dB, SSIM=0.0402
66_p4: SNR=12.5512 dB, PSNR=-30.8009 dB, SSIM=0.1035
