Image Quality Evaluation Summary
============================================================
Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/single_highlight
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 8.9409 dB
Std SNR: 4.7751 dB
Min SNR: 1.5072 dB
Max SNR: 22.9296 dB
------------------------------------------------------------
Mean PSNR: -33.3684 dB
Std PSNR: 3.3834 dB
Min PSNR: -38.4458 dB
Max PSNR: -21.5293 dB
------------------------------------------------------------
Mean SSIM: 0.0549
Std SSIM: 0.0498
Min SSIM: -0.0001
Max SSIM: 0.2537
------------------------------------------------------------
Individual Results:
47_p2: SNR=2.9361 dB, PSNR=-36.1909 dB, SSIM=0.0159
47_p3: SNR=8.1261 dB, PSNR=-31.1593 dB, SSIM=0.1014
47_p4: SNR=2.4343 dB, PSNR=-35.2802 dB, SSIM=0.0094
48_p1: SNR=2.3794 dB, PSNR=-36.5932 dB, SSIM=0.0130
48_p2: SNR=6.1635 dB, PSNR=-28.4727 dB, SSIM=0.0754
48_p3: SNR=3.8085 dB, PSNR=-35.2499 dB, SSIM=0.0519
48_p4: SNR=4.7293 dB, PSNR=-35.0054 dB, SSIM=0.0402
49_p1: SNR=7.6453 dB, PSNR=-35.5377 dB, SSIM=0.0869
49_p2: SNR=5.0230 dB, PSNR=-37.0940 dB, SSIM=0.1593
49_p3: SNR=7.5573 dB, PSNR=-31.7509 dB, SSIM=0.0464
49_p4: SNR=4.6400 dB, PSNR=-37.4155 dB, SSIM=0.0453
50_p1: SNR=11.8735 dB, PSNR=-31.5424 dB, SSIM=0.0944
50_p2: SNR=7.4575 dB, PSNR=-33.6407 dB, SSIM=0.0579
50_p3: SNR=4.9148 dB, PSNR=-33.6758 dB, SSIM=0.0555
50_p4: SNR=2.4802 dB, PSNR=-36.2446 dB, SSIM=0.0156
51_p1: SNR=6.5710 dB, PSNR=-36.3350 dB, SSIM=0.0811
51_p2: SNR=10.3116 dB, PSNR=-33.4520 dB, SSIM=0.0863
51_p3: SNR=4.9697 dB, PSNR=-36.3201 dB, SSIM=0.0800
51_p4: SNR=5.5357 dB, PSNR=-37.3227 dB, SSIM=0.0778
52_p1: SNR=2.5642 dB, PSNR=-37.8182 dB, SSIM=0.0059
52_p2: SNR=2.5755 dB, PSNR=-38.4458 dB, SSIM=0.0211
52_p3: SNR=5.3402 dB, PSNR=-36.7317 dB, SSIM=0.1693
52_p4: SNR=3.2562 dB, PSNR=-36.9826 dB, SSIM=0.0370
53_p1: SNR=3.4075 dB, PSNR=-34.8888 dB, SSIM=0.0041
53_p2: SNR=3.0129 dB, PSNR=-36.5028 dB, SSIM=0.0119
53_p3: SNR=3.5098 dB, PSNR=-37.6621 dB, SSIM=0.0647
53_p4: SNR=4.8708 dB, PSNR=-32.8817 dB, SSIM=0.0200
54_p1: SNR=13.0612 dB, PSNR=-30.0379 dB, SSIM=0.0169
54_p2: SNR=15.7875 dB, PSNR=-27.4446 dB, SSIM=0.0251
54_p3: SNR=8.9094 dB, PSNR=-34.0009 dB, SSIM=0.0710
54_p4: SNR=8.1544 dB, PSNR=-33.8328 dB, SSIM=0.0300
55_p1: SNR=4.6152 dB, PSNR=-34.7853 dB, SSIM=0.0023
55_p2: SNR=5.5934 dB, PSNR=-36.0115 dB, SSIM=0.0358
55_p3: SNR=4.4331 dB, PSNR=-36.5546 dB, SSIM=0.0110
55_p4: SNR=5.2614 dB, PSNR=-36.0535 dB, SSIM=0.0159
56_p1: SNR=10.5659 dB, PSNR=-32.9866 dB, SSIM=0.2182
56_p2: SNR=10.5621 dB, PSNR=-33.2301 dB, SSIM=0.1989
56_p3: SNR=9.6889 dB, PSNR=-32.4763 dB, SSIM=0.1923
56_p4: SNR=9.7562 dB, PSNR=-33.1236 dB, SSIM=0.1241
57_p1: SNR=5.6494 dB, PSNR=-35.8204 dB, SSIM=0.0323
57_p2: SNR=4.1378 dB, PSNR=-37.2732 dB, SSIM=0.0875
57_p3: SNR=8.8473 dB, PSNR=-34.8405 dB, SSIM=0.1191
57_p4: SNR=7.9383 dB, PSNR=-32.9274 dB, SSIM=0.1739
