Image Quality Evaluation Summary
============================================================

Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/deblurring/25
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 9.4430 dB
Std SNR: 4.8096 dB
Min SNR: 1.7839 dB
Max SNR: 23.9295 dB

------------------------------------------------------------Mean PSNR: -32.8038 dB
Std PSNR: 3.5465 dB
Min PSNR: -38.4476 dB
Max PSNR: -20.5682 dB

------------------------------------------------------------Mean SSIM: 0.0751
Std SSIM: 0.0632
Min SSIM: 0.0001
Max SSIM: 0.2763

------------------------------------------------------------Individual Results:
------------------------------------------------------------
29_p3: SNR=6.1457 dB, PSNR=-35.7261 dB, SSIM=0.0679
29_p4: SNR=7.7197 dB, PSNR=-33.9085 dB, SSIM=0.1406
30_p1: SNR=15.0125 dB, PSNR=-30.1875 dB, SSIM=0.0307
30_p2: SNR=17.0636 dB, PSNR=-29.0877 dB, SSIM=0.0302
30_p3: SNR=6.6678 dB, PSNR=-34.0629 dB, SSIM=0.0663
30_p4: SNR=5.3338 dB, PSNR=-37.0464 dB, SSIM=0.1356
31_p1: SNR=17.0331 dB, PSNR=-27.4352 dB, SSIM=0.0641
31_p2: SNR=14.9398 dB, PSNR=-28.9440 dB, SSIM=0.0019
31_p3: SNR=5.5870 dB, PSNR=-34.6777 dB, SSIM=0.0089
31_p4: SNR=5.0447 dB, PSNR=-36.2875 dB, SSIM=0.0108
32_p1: SNR=18.7721 dB, PSNR=-27.5772 dB, SSIM=0.0261
32_p2: SNR=5.5141 dB, PSNR=-37.3086 dB, SSIM=0.0362
32_p3: SNR=8.6824 dB, PSNR=-32.2245 dB, SSIM=0.0356
32_p4: SNR=9.9263 dB, PSNR=-30.7555 dB, SSIM=0.0761
33_p1: SNR=15.2624 dB, PSNR=-29.1925 dB, SSIM=0.0019
33_p2: SNR=16.1982 dB, PSNR=-28.5219 dB, SSIM=0.0031
33_p3: SNR=7.2235 dB, PSNR=-33.5417 dB, SSIM=0.0073
33_p4: SNR=5.5758 dB, PSNR=-37.7455 dB, SSIM=0.0284
34_p1: SNR=20.8997 dB, PSNR=-25.9178 dB, SSIM=0.0157
34_p2: SNR=20.3004 dB, PSNR=-26.5946 dB, SSIM=0.0316
34_p3: SNR=9.2288 dB, PSNR=-32.6483 dB, SSIM=0.0788
34_p4: SNR=7.1064 dB, PSNR=-36.7027 dB, SSIM=0.1813
35_p1: SNR=7.1683 dB, PSNR=-34.7757 dB, SSIM=0.0037
35_p2: SNR=17.0697 dB, PSNR=-28.4833 dB, SSIM=0.0589
35_p3: SNR=6.2971 dB, PSNR=-37.2401 dB, SSIM=0.0268
35_p4: SNR=9.6259 dB, PSNR=-31.2688 dB, SSIM=0.0471
36_p1: SNR=12.2584 dB, PSNR=-32.1340 dB, SSIM=0.1135
36_p2: SNR=13.9817 dB, PSNR=-30.4936 dB, SSIM=0.2090
36_p3: SNR=2.6391 dB, PSNR=-34.5324 dB, SSIM=0.0162
36_p4: SNR=3.5443 dB, PSNR=-36.5908 dB, SSIM=0.0167
37_p1: SNR=3.4198 dB, PSNR=-35.9566 dB, SSIM=0.0399
37_p2: SNR=3.9698 dB, PSNR=-36.0537 dB, SSIM=0.0917
37_p3: SNR=4.8411 dB, PSNR=-36.5593 dB, SSIM=0.0975
37_p4: SNR=7.7233 dB, PSNR=-33.1476 dB, SSIM=0.2091
38_p1: SNR=3.6371 dB, PSNR=-34.9744 dB, SSIM=0.0531
38_p2: SNR=4.0087 dB, PSNR=-36.4544 dB, SSIM=0.0721
38_p3: SNR=5.7017 dB, PSNR=-36.1751 dB, SSIM=0.0673
38_p4: SNR=5.2239 dB, PSNR=-35.7499 dB, SSIM=0.0834
39_p1: SNR=4.8763 dB, PSNR=-34.5644 dB, SSIM=0.0441
39_p2: SNR=4.9268 dB, PSNR=-36.3786 dB, SSIM=0.0570
39_p3: SNR=3.9330 dB, PSNR=-37.0876 dB, SSIM=0.0407
39_p4: SNR=5.5683 dB, PSNR=-35.3385 dB, SSIM=0.0533
40_p1: SNR=9.8569 dB, PSNR=-30.9770 dB, SSIM=0.0824
40_p2: SNR=6.5471 dB, PSNR=-33.2022 dB, SSIM=0.0411
40_p3: SNR=8.0789 dB, PSNR=-34.2208 dB, SSIM=0.2689
40_p4: SNR=7.9213 dB, PSNR=-29.9015 dB, SSIM=0.0432
41_p1: SNR=3.3657 dB, PSNR=-36.3699 dB, SSIM=0.0345
41_p2: SNR=2.9697 dB, PSNR=-34.3768 dB, SSIM=0.0319
41_p3: SNR=5.7808 dB, PSNR=-35.1639 dB, SSIM=0.0449
41_p4: SNR=5.1053 dB, PSNR=-36.5017 dB, SSIM=0.0764
42_p1: SNR=2.2174 dB, PSNR=-36.7607 dB, SSIM=0.0114
42_p2: SNR=3.4731 dB, PSNR=-32.7160 dB, SSIM=0.0180
42_p3: SNR=7.5382 dB, PSNR=-34.4518 dB, SSIM=0.1069
42_p4: SNR=7.4191 dB, PSNR=-34.2482 dB, SSIM=0.1110
43_p1: SNR=2.3901 dB, PSNR=-33.5055 dB, SSIM=0.0154
43_p2: SNR=2.1507 dB, PSNR=-34.3665 dB, SSIM=0.0133
43_p3: SNR=3.1057 dB, PSNR=-37.4198 dB, SSIM=0.0505
43_p4: SNR=4.1459 dB, PSNR=-36.4898 dB, SSIM=0.0759
44_p1: SNR=2.1253 dB, PSNR=-34.3365 dB, SSIM=0.0095
44_p2: SNR=1.7839 dB, PSNR=-36.7996 dB, SSIM=0.0141
44_p3: SNR=7.8560 dB, PSNR=-34.1816 dB, SSIM=0.1818
44_p4: SNR=2.5408 dB, PSNR=-35.9874 dB, SSIM=0.0224
45_p1: SNR=7.0685 dB, PSNR=-32.8200 dB, SSIM=0.1078
45_p2: SNR=6.5541 dB, PSNR=-32.9220 dB, SSIM=0.0921
45_p3: SNR=6.2877 dB, PSNR=-33.5201 dB, SSIM=0.2763
45_p4: SNR=4.6835 dB, PSNR=-35.4529 dB, SSIM=0.0377
46_p1: SNR=5.6370 dB, PSNR=-32.2197 dB, SSIM=0.0385
46_p2: SNR=4.1738 dB, PSNR=-35.6756 dB, SSIM=0.0328
46_p3: SNR=3.7446 dB, PSNR=-37.1679 dB, SSIM=0.0330
46_p4: SNR=5.0887 dB, PSNR=-36.0920 dB, SSIM=0.0428
47_p1: SNR=4.5477 dB, PSNR=-36.1972 dB, SSIM=0.0281
47_p2: SNR=3.4941 dB, PSNR=-35.2562 dB, SSIM=0.0171
47_p3: SNR=9.1975 dB, PSNR=-29.9304 dB, SSIM=0.1663
47_p4: SNR=3.1583 dB, PSNR=-33.7555 dB, SSIM=0.0132
48_p1: SNR=2.8479 dB, PSNR=-35.6822 dB, SSIM=0.0160
48_p2: SNR=8.4257 dB, PSNR=-25.6484 dB, SSIM=0.1587
48_p3: SNR=4.7105 dB, PSNR=-34.0931 dB, SSIM=0.0632
48_p4: SNR=5.5479 dB, PSNR=-34.0393 dB, SSIM=0.0522
49_p1: SNR=7.7711 dB, PSNR=-35.4051 dB, SSIM=0.1647
49_p2: SNR=5.0470 dB, PSNR=-37.0751 dB, SSIM=0.2253
49_p3: SNR=8.8514 dB, PSNR=-30.2864 dB, SSIM=0.1043
49_p4: SNR=4.7775 dB, PSNR=-37.2673 dB, SSIM=0.0727
50_p1: SNR=12.5291 dB, PSNR=-30.8648 dB, SSIM=0.1797
50_p2: SNR=8.6378 dB, PSNR=-32.3008 dB, SSIM=0.0898
50_p3: SNR=6.3719 dB, PSNR=-31.7453 dB, SSIM=0.1290
50_p4: SNR=2.9429 dB, PSNR=-35.2743 dB, SSIM=0.0272
51_p1: SNR=6.7313 dB, PSNR=-36.1848 dB, SSIM=0.1186
51_p2: SNR=10.6998 dB, PSNR=-33.0491 dB, SSIM=0.1159
51_p3: SNR=5.0851 dB, PSNR=-36.2084 dB, SSIM=0.1125
51_p4: SNR=5.5736 dB, PSNR=-37.3029 dB, SSIM=0.1120
52_p1: SNR=2.7400 dB, PSNR=-37.5546 dB, SSIM=0.0075
52_p2: SNR=2.6283 dB, PSNR=-38.4476 dB, SSIM=0.0268
52_p3: SNR=5.4904 dB, PSNR=-36.5866 dB, SSIM=0.2071
52_p4: SNR=3.5212 dB, PSNR=-36.6155 dB, SSIM=0.0394
53_p1: SNR=3.9225 dB, PSNR=-34.1451 dB, SSIM=0.0070
53_p2: SNR=3.4008 dB, PSNR=-35.9428 dB, SSIM=0.0154
53_p3: SNR=3.5704 dB, PSNR=-37.5753 dB, SSIM=0.0907
53_p4: SNR=6.7669 dB, PSNR=-30.3658 dB, SSIM=0.0427
54_p1: SNR=14.1635 dB, PSNR=-28.9188 dB, SSIM=0.0247
54_p2: SNR=16.4756 dB, PSNR=-26.7591 dB, SSIM=0.0471
54_p3: SNR=9.1900 dB, PSNR=-33.7679 dB, SSIM=0.1078
54_p4: SNR=9.0228 dB, PSNR=-32.9453 dB, SSIM=0.0319
55_p1: SNR=5.6737 dB, PSNR=-33.4977 dB, SSIM=0.0030
55_p2: SNR=5.9350 dB, PSNR=-35.6138 dB, SSIM=0.0408
55_p3: SNR=4.7719 dB, PSNR=-36.1563 dB, SSIM=0.0121
55_p4: SNR=5.8282 dB, PSNR=-35.3575 dB, SSIM=0.0186
56_p1: SNR=10.7538 dB, PSNR=-32.8358 dB, SSIM=0.2370
56_p2: SNR=10.7204 dB, PSNR=-33.1359 dB, SSIM=0.2335
56_p3: SNR=10.2785 dB, PSNR=-31.9164 dB, SSIM=0.2265
56_p4: SNR=10.1633 dB, PSNR=-32.7355 dB, SSIM=0.1650
57_p1: SNR=6.4264 dB, PSNR=-35.0924 dB, SSIM=0.0351
57_p2: SNR=4.2114 dB, PSNR=-37.2456 dB, SSIM=0.0991
57_p3: SNR=9.0656 dB, PSNR=-34.6768 dB, SSIM=0.1269
57_p4: SNR=8.5995 dB, PSNR=-32.2086 dB, SSIM=0.2342
58_p1: SNR=8.7402 dB, PSNR=-33.4609 dB, SSIM=0.1199
58_p2: SNR=7.8989 dB, PSNR=-34.5505 dB, SSIM=0.1809
58_p3: SNR=10.6112 dB, PSNR=-33.0011 dB, SSIM=0.1679
58_p4: SNR=9.7832 dB, PSNR=-33.5154 dB, SSIM=0.1138
59_p1: SNR=8.7190 dB, PSNR=-34.6742 dB, SSIM=0.2457
59_p2: SNR=9.1082 dB, PSNR=-35.0842 dB, SSIM=0.1593
59_p3: SNR=8.8495 dB, PSNR=-33.3405 dB, SSIM=0.0706
59_p4: SNR=8.4206 dB, PSNR=-35.2175 dB, SSIM=0.0769
60_p1: SNR=14.6215 dB, PSNR=-30.2018 dB, SSIM=0.0157
60_p2: SNR=13.6567 dB, PSNR=-28.5361 dB, SSIM=0.0076
60_p3: SNR=8.6418 dB, PSNR=-34.6139 dB, SSIM=0.0949
60_p4: SNR=9.6958 dB, PSNR=-32.4633 dB, SSIM=0.0321
61_p1: SNR=20.4507 dB, PSNR=-23.7009 dB, SSIM=0.0135
61_p2: SNR=13.2243 dB, PSNR=-30.2066 dB, SSIM=0.0068
61_p3: SNR=9.0446 dB, PSNR=-34.5174 dB, SSIM=0.0550
61_p4: SNR=11.7671 dB, PSNR=-29.7831 dB, SSIM=0.0866
62_p1: SNR=20.3532 dB, PSNR=-25.4234 dB, SSIM=0.0474
62_p2: SNR=11.8244 dB, PSNR=-32.5889 dB, SSIM=0.0280
62_p3: SNR=9.9142 dB, PSNR=-33.5330 dB, SSIM=0.0857
62_p4: SNR=10.0229 dB, PSNR=-29.9355 dB, SSIM=0.0530
63_p1: SNR=10.2423 dB, PSNR=-32.5577 dB, SSIM=0.0478
63_p2: SNR=17.2886 dB, PSNR=-28.0268 dB, SSIM=0.1372
63_p3: SNR=7.0393 dB, PSNR=-33.4318 dB, SSIM=0.0547
63_p4: SNR=5.9451 dB, PSNR=-33.4289 dB, SSIM=0.0986
64_p1: SNR=10.2519 dB, PSNR=-33.0350 dB, SSIM=0.0139
64_p2: SNR=10.7268 dB, PSNR=-32.1246 dB, SSIM=0.0582
64_p3: SNR=8.6941 dB, PSNR=-35.0113 dB, SSIM=0.0874
64_p4: SNR=10.1430 dB, PSNR=-32.6802 dB, SSIM=0.1055
65_p1: SNR=7.1257 dB, PSNR=-36.2481 dB, SSIM=0.0678
65_p2: SNR=8.3672 dB, PSNR=-34.1721 dB, SSIM=0.0555
65_p3: SNR=10.0244 dB, PSNR=-33.7456 dB, SSIM=0.2660
65_p4: SNR=7.2029 dB, PSNR=-36.8287 dB, SSIM=0.1107
66_p1: SNR=14.4864 dB, PSNR=-30.3762 dB, SSIM=0.0997
66_p2: SNR=14.1594 dB, PSNR=-29.9804 dB, SSIM=0.1250
66_p3: SNR=9.3747 dB, PSNR=-33.8590 dB, SSIM=0.0396
66_p4: SNR=11.4450 dB, PSNR=-32.5250 dB, SSIM=0.1030
