filename,input_file,label_file,SNR,PSNR,SSIM
13_p1,13_p1.jpg,13_p1.jpg,8.844704768172843,-34.83273796042921,0.0388389268874994
13_p2,13_p2.jpg,13_p2.jpg,6.7959621868787305,-36.7963845245611,0.037791241531559945
13_p3,13_p3.jpg,13_p3.jpg,5.951223786923507,-37.39868311261674,0.05632168681762218
13_p4,13_p4.jpg,13_p4.jpg,5.628522828773075,-37.75291884891533,0.01944431322623399
14_p1,14_p1.jpg,14_p1.jpg,8.951386655298869,-34.70242195625324,0.04617575702990936
14_p2,14_p2.jpg,14_p2.jpg,6.011541123204979,-37.65062593722461,0.004069037260027257
14_p3,14_p3.jpg,14_p3.jpg,6.863622507550113,-36.55611530323797,0.15409907113096255
14_p4,14_p4.jpg,14_p4.jpg,8.122096304692532,-35.310460810710026,0.1342810113946149
15_p1,15_p1.jpg,15_p1.jpg,7.19050993093423,-36.49994709645449,0.01079471753659414
15_p2,15_p2.jpg,15_p2.jpg,7.419447979664756,-36.23241934820782,0.004406072315724576
15_p3,15_p3.jpg,15_p3.jpg,4.439515579425195,-39.01952585168143,0.010599350579843328
15_p4,15_p4.jpg,15_p4.jpg,5.930163597115987,-37.48721028060796,0.11969675479225288
16_p1,16_p1.jpg,16_p1.jpg,6.475048237911474,-37.06915624149869,0.00416110232133318
16_p2,16_p2.jpg,16_p2.jpg,6.442055445137674,-37.15318370220676,0.004018349644183741
16_p3,16_p3.jpg,16_p3.jpg,5.2393311073615125,-38.212513873120784,0.06308293348232889
16_p4,16_p4.jpg,16_p4.jpg,4.8319923250846335,-38.64857364322499,0.09738143566223822
17_p1,17_p1.jpg,17_p1.jpg,6.294307147293834,-37.399975075486985,0.01258106008473043
17_p2,17_p2.jpg,17_p2.jpg,7.622406455310495,-36.13443829066854,0.0132224808295034
17_p3,17_p3.jpg,17_p3.jpg,8.562865410805575,-34.91560100324352,0.053023138655354206
17_p4,17_p4.jpg,17_p4.jpg,7.316095091820161,-36.17483172734292,0.029490587961076287
18_p1,18_p1.jpg,18_p1.jpg,4.135393551379131,-39.46877487625157,0.0019748458106097046
