Image Quality Evaluation Summary
============================================================
Input directory: dataset/RichardsonLucy-result
Label directory: dataset/original

Total images: 264
Mean SNR: 18.4770 dB
Std SNR: 7.3276 dB
Min SNR: 7.5662 dB
Max SNR: 38.4307 dB
------------------------------------------------------------
Mean PSNR: -21.6790 dB
Std PSNR: 5.1496 dB
Min PSNR: -30.2220 dB
Max PSNR: -5.9830 dB
------------------------------------------------------------
Mean SSIM: 0.5248
Std SSIM: 0.1143
Min SSIM: 0.2986
Max SSIM: 0.7329
------------------------------------------------------------
Individual Results:
26_p3: SNR=12.9737 dB, PSNR=-25.4407 dB, SSIM=0.6395
26_p4: SNR=12.0094 dB, PSNR=-26.7177 dB, SSIM=0.6584
27_p1: SNR=22.6119 dB, PSNR=-21.1712 dB, SSIM=0.4847
27_p2: SNR=18.9320 dB, PSNR=-23.2604 dB, SSIM=0.4557
27_p3: SNR=14.4735 dB, PSNR=-23.6984 dB, SSIM=0.6949
27_p4: SNR=11.6876 dB, PSNR=-23.7594 dB, SSIM=0.6287
28_p1: SNR=23.6755 dB, PSNR=-21.0357 dB, SSIM=0.4238
28_p2: SNR=30.9713 dB, PSNR=-15.5202 dB, SSIM=0.4651
28_p3: SNR=9.1352 dB, PSNR=-26.5877 dB, SSIM=0.6129
28_p4: SNR=10.8306 dB, PSNR=-25.5733 dB, SSIM=0.6370
29_p1: SNR=29.9230 dB, PSNR=-15.1889 dB, SSIM=0.4068
29_p2: SNR=36.2270 dB, PSNR=-10.1982 dB, SSIM=0.4682
29_p3: SNR=12.5234 dB, PSNR=-25.3450 dB, SSIM=0.6065
29_p4: SNR=13.4851 dB, PSNR=-25.9428 dB, SSIM=0.6042
30_p1: SNR=26.2117 dB, PSNR=-19.7982 dB, SSIM=0.4015
30_p2: SNR=26.2816 dB, PSNR=-19.5542 dB, SSIM=0.3806
30_p3: SNR=14.5670 dB, PSNR=-21.7484 dB, SSIM=0.6612
30_p4: SNR=15.6036 dB, PSNR=-20.5132 dB, SSIM=0.6585
31_p1: SNR=32.9646 dB, PSNR=-11.1188 dB, SSIM=0.4100
31_p2: SNR=33.2457 dB, PSNR=-10.7499 dB, SSIM=0.4313
31_p3: SNR=20.4748 dB, PSNR=-15.7900 dB, SSIM=0.6328
31_p4: SNR=20.5617 dB, PSNR=-15.4747 dB, SSIM=0.6368
32_p1: SNR=29.5995 dB, PSNR=-16.9154 dB, SSIM=0.3969
32_p2: SNR=29.1408 dB, PSNR=-17.2359 dB, SSIM=0.3882
32_p3: SNR=16.7299 dB, PSNR=-21.6039 dB, SSIM=0.6528
32_p4: SNR=17.2772 dB, PSNR=-20.8718 dB, SSIM=0.6473
33_p1: SNR=34.3212 dB, PSNR=-10.1674 dB, SSIM=0.3658
33_p2: SNR=35.4074 dB, PSNR=-9.1250 dB, SSIM=0.3779
33_p3: SNR=21.7135 dB, PSNR=-16.0532 dB, SSIM=0.5981
33_p4: SNR=22.1005 dB, PSNR=-15.4911 dB, SSIM=0.6088
34_p1: SNR=33.1711 dB, PSNR=-13.8765 dB, SSIM=0.3558
34_p2: SNR=30.2335 dB, PSNR=-16.6415 dB, SSIM=0.3553
34_p3: SNR=16.1871 dB, PSNR=-23.2418 dB, SSIM=0.6636
34_p4: SNR=17.4935 dB, PSNR=-21.6347 dB, SSIM=0.6710
35_p1: SNR=34.6633 dB, PSNR=-10.1770 dB, SSIM=0.3860
35_p2: SNR=35.2175 dB, PSNR=-9.5609 dB, SSIM=0.3998
35_p3: SNR=21.6716 dB, PSNR=-16.8444 dB, SSIM=0.6126
35_p4: SNR=21.2942 dB, PSNR=-16.8354 dB, SSIM=0.6168
36_p1: SNR=23.1115 dB, PSNR=-22.4850 dB, SSIM=0.4640
36_p2: SNR=23.1861 dB, PSNR=-21.7452 dB, SSIM=0.4527
36_p3: SNR=9.5787 dB, PSNR=-19.6176 dB, SSIM=0.5412
36_p4: SNR=12.4752 dB, PSNR=-22.0779 dB, SSIM=0.5362
37_p1: SNR=8.4534 dB, PSNR=-26.0426 dB, SSIM=0.5747
37_p2: SNR=9.5564 dB, PSNR=-24.8253 dB, SSIM=0.5327
37_p3: SNR=9.6267 dB, PSNR=-27.5269 dB, SSIM=0.5558
37_p4: SNR=10.4911 dB, PSNR=-28.5704 dB, SSIM=0.5439
38_p1: SNR=10.2066 dB, PSNR=-22.8086 dB, SSIM=0.4441
38_p2: SNR=10.3736 dB, PSNR=-23.9188 dB, SSIM=0.6111
38_p3: SNR=12.3742 dB, PSNR=-25.8714 dB, SSIM=0.4902
38_p4: SNR=10.2686 dB, PSNR=-26.6420 dB, SSIM=0.6033
39_p1: SNR=10.5534 dB, PSNR=-25.9838 dB, SSIM=0.4707
39_p2: SNR=11.6148 dB, PSNR=-25.1683 dB, SSIM=0.4843
39_p3: SNR=11.1222 dB, PSNR=-24.5486 dB, SSIM=0.4781
39_p4: SNR=11.2765 dB, PSNR=-27.9458 dB, SSIM=0.4764
40_p1: SNR=16.3452 dB, PSNR=-24.4276 dB, SSIM=0.5585
40_p2: SNR=25.7711 dB, PSNR=-14.8394 dB, SSIM=0.5792
40_p3: SNR=16.5832 dB, PSNR=-22.9390 dB, SSIM=0.5080
40_p4: SNR=19.9541 dB, PSNR=-17.0273 dB, SSIM=0.5401
41_p1: SNR=15.1787 dB, PSNR=-18.2082 dB, SSIM=0.3825
41_p2: SNR=11.7349 dB, PSNR=-18.8250 dB, SSIM=0.4069
41_p3: SNR=11.5591 dB, PSNR=-27.7171 dB, SSIM=0.5905
41_p4: SNR=14.0677 dB, PSNR=-24.1261 dB, SSIM=0.5311
42_p1: SNR=10.8187 dB, PSNR=-18.9619 dB, SSIM=0.3249
42_p2: SNR=10.3716 dB, PSNR=-19.3339 dB, SSIM=0.3280
42_p3: SNR=12.8517 dB, PSNR=-28.2635 dB, SSIM=0.5348
42_p4: SNR=12.0589 dB, PSNR=-27.9395 dB, SSIM=0.5251
43_p1: SNR=7.5662 dB, PSNR=-21.3851 dB, SSIM=0.5278
43_p2: SNR=8.0168 dB, PSNR=-22.2005 dB, SSIM=0.5059
43_p3: SNR=9.4152 dB, PSNR=-24.7200 dB, SSIM=0.5340
43_p4: SNR=9.3284 dB, PSNR=-27.1027 dB, SSIM=0.5028
44_p1: SNR=9.6166 dB, PSNR=-19.9329 dB, SSIM=0.4036
44_p2: SNR=10.5720 dB, PSNR=-19.1965 dB, SSIM=0.3538
44_p3: SNR=16.4366 dB, PSNR=-24.4627 dB, SSIM=0.5539
44_p4: SNR=9.8556 dB, PSNR=-22.3331 dB, SSIM=0.4846
45_p1: SNR=12.2980 dB, PSNR=-25.5923 dB, SSIM=0.5472
45_p2: SNR=13.3070 dB, PSNR=-23.4740 dB, SSIM=0.5473
45_p3: SNR=11.7317 dB, PSNR=-24.0854 dB, SSIM=0.5305
45_p4: SNR=12.7989 dB, PSNR=-22.7481 dB, SSIM=0.5289
46_p1: SNR=12.5046 dB, PSNR=-24.6659 dB, SSIM=0.5294
46_p2: SNR=12.4410 dB, PSNR=-21.7158 dB, SSIM=0.4092
46_p3: SNR=12.1450 dB, PSNR=-21.8927 dB, SSIM=0.4888
46_p4: SNR=12.9231 dB, PSNR=-23.2128 dB, SSIM=0.4850
47_p1: SNR=13.2432 dB, PSNR=-23.1730 dB, SSIM=0.4454
47_p2: SNR=11.7741 dB, PSNR=-23.0941 dB, SSIM=0.5251
47_p3: SNR=13.5988 dB, PSNR=-24.2078 dB, SSIM=0.6288
47_p4: SNR=10.6890 dB, PSNR=-19.5795 dB, SSIM=0.5077
48_p1: SNR=10.9254 dB, PSNR=-20.2776 dB, SSIM=0.4159
48_p2: SNR=11.2003 dB, PSNR=-20.7829 dB, SSIM=0.4142
48_p3: SNR=11.9647 dB, PSNR=-24.6826 dB, SSIM=0.4927
48_p4: SNR=11.9650 dB, PSNR=-25.7466 dB, SSIM=0.5061
49_p1: SNR=18.9399 dB, PSNR=-20.4930 dB, SSIM=0.6041
49_p2: SNR=14.1003 dB, PSNR=-21.8593 dB, SSIM=0.5299
49_p3: SNR=15.2639 dB, PSNR=-21.5346 dB, SSIM=0.5791
49_p4: SNR=11.7118 dB, PSNR=-24.6268 dB, SSIM=0.5423
