filename,input_file,label_file,SNR,PSNR,SSIM
17_p2,17_p2.jpg,17_p2.jpg,17.33055335110928,-28.21706839534724,0.029606941974968003
17_p3,17_p3.jpg,17_p3.jpg,8.474771263347536,-33.93635835502668,0.04144393353319877
17_p4,17_p4.jpg,17_p4.jpg,9.103503446415935,-32.85145334808209,0.027353945668125226
18_p1,18_p1.jpg,18_p1.jpg,17.907038089148624,-27.293805544651647,0.005602754120439492
18_p2,18_p2.jpg,18_p2.jpg,20.39467092194535,-24.83290231854689,0.014634090625511131
18_p3,18_p3.jpg,18_p3.jpg,9.612869846418379,-34.004550592179555,0.1831452514370351
18_p4,18_p4.jpg,18_p4.jpg,8.594316876018155,-32.61494624545271,0.008049681299315735
19_p1,19_p1.jpg,19_p1.jpg,11.365933425315344,-32.71773382711267,0.022867125790303266
19_p2,19_p2.jpg,19_p2.jpg,12.731315561168383,-31.606780864167913,0.027718799005207087
19_p3,19_p3.jpg,19_p3.jpg,12.367145596327038,-31.810733432017404,0.053654855429771865
19_p4,19_p4.jpg,19_p4.jpg,12.998186835429808,-31.723193088983585,0.08038421134451702
20_p1,20_p1.jpg,20_p1.jpg,10.47139626492627,-33.60659316737531,0.012423437816830507
20_p2,20_p2.jpg,20_p2.jpg,11.752318138315406,-32.13120034748341,0.020846432529448372
20_p3,20_p3.jpg,20_p3.jpg,6.698406409767958,-36.917871366057106,0.04020744070275605
20_p4,20_p4.jpg,20_p4.jpg,6.087316358471377,-37.70170947171988,0.09196091183200655
21_p1,21_p1.jpg,21_p1.jpg,8.364651751037544,-34.242413270583704,0.0984553842621199
21_p2,21_p2.jpg,21_p2.jpg,11.579741208301842,-33.38037793245072,0.22824145114887542
21_p3,21_p3.jpg,21_p3.jpg,7.634667177548648,-35.73686202371748,0.11972384127445422
21_p4,21_p4.jpg,21_p4.jpg,5.7534429767420185,-37.00817503569452,0.062419771272084174
22_p1,22_p1.jpg,22_p1.jpg,14.719007935227303,-30.794841381328013,0.03238758668743255
22_p2,22_p2.jpg,22_p2.jpg,7.478299897092768,-35.08948487528446,0.07173002641608846
22_p3,22_p3.jpg,22_p3.jpg,5.0179220884338696,-36.53703649788813,0.02067610555027327
22_p4,22_p4.jpg,22_p4.jpg,4.899459302899638,-37.82036162662946,0.08343318060423888
23_p1,23_p1.jpg,23_p1.jpg,12.607913886440512,-31.825793645050908,0.005016818528071343
23_p2,23_p2.jpg,23_p2.jpg,9.928644758383756,-33.24226714189801,0.022170632335798513
23_p3,23_p3.jpg,23_p3.jpg,7.612041171899785,-35.25095954574684,0.07621457636501298
